Gd.poscar, 1.0
TiSe2.poscar, 1.0
MgB2.poscar, 1.0
Zr3Ir.poscar, 1.0
Sn3.poscar, 1.0
LaPd2Ge2.poscar, 1.0
C6Li.poscar, 1.0
W5Si3.poscar, 1.0
CuAlO2.poscar, 1.0
La3.poscar, 1.0
NbTi.poscar, 1.0
Fe2VAl.poscar, 1.0
P.poscar, 1.0
Nb3.poscar, 1.0
Ni2.poscar, 1.0
IrGe.poscar, 1.0
B4C.poscar, 1.0
CePdSb.poscar, 1.0
SnTaS2.poscar, 1.0
LaPt.poscar, 1.0
SCs.poscar, 1.0
BaC6.poscar, 1.0
Nb3Al.poscar, 1.0
Nb3N5.poscar, 1.0
TiSi2.poscar, 1.0
Tl.poscar, 1.0
H.poscar, 1.0
Tl2Ba2Ca2Cu3O10.poscar, 1.0
Bi2Se3.poscar, 1.0
U6Fe.poscar, 1.0
ZrNBr.poscar, 1.0
Y2Ni3Si5.poscar, 1.0
LaPt2Si2.poscar, 1.0
Al2Mo3C.poscar, 1.0
CuCo2S4.poscar, 1.0
SmB6.poscar, 1.0
Ta2S2C.poscar, 1.0
SrPt6P2.poscar, 1.0
LaPtBi.poscar, 1.0
Mg10Ir19B16.poscar, 1.0
ZnNNi3.poscar, 1.0
Fe2As2.poscar, 1.0
PrTi2Al20.poscar, 1.0
NdNi5.poscar, 1.0
Ta2NiSe5.poscar, 1.0
NbAs2.poscar, 1.0
AlMgB4.poscar, 1.0
SrIr2.poscar, 1.0
CoAs3.poscar, 1.0
InBi.poscar, 1.0
As2.poscar, 1.0
LaIr2Si2.poscar, 1.0
YRuB2.poscar, 1.0
W2C.poscar, 1.0
Pt.poscar, 1.0
IrSi3.poscar, 1.0
CeIrIn5.poscar, 1.0
EuCeRuSr2Cu2O10.poscar, 1.0
NaFeAs.poscar, 1.0
Tl2Ba2CaCu2O8.poscar, 1.0
CaLi2.poscar, 1.0
Rb3.poscar, 1.0
SnPS3.poscar, 1.0
K2.poscar, 1.0
Mo3S4.poscar, 1.0
CaFeAsF.poscar, 1.0
V3Au.poscar, 1.0
BaRh2As2.poscar, 1.0
KNi2Se2.poscar, 1.0
Zn.poscar, 1.0
TaB2.poscar, 1.0
Cr2Ge2Te6.poscar, 1.0
SrPd2Sb2.poscar, 1.0
Sc5Ir4Si10.poscar, 1.0
In.poscar, 1.0
GdFeAsO.poscar, 1.0
ThCoC2.poscar, 1.0
Fe2Se2.poscar, 1.0
HfS3.poscar, 1.0
H7.2.poscar, 1.0
LaIr3.poscar, 1.0
Mo2C.poscar, 1.0
AlB2.poscar, 1.0
CePt3Si.poscar, 1.0
LaONiP.poscar, 1.0
Th2NiC2.poscar, 1.0
FeSe.poscar, 1.0
NbC.poscar, 1.0
GdCo2B2.poscar, 1.0
C7.poscar, 1.0
AgSnSe2.poscar, 1.0
YCoGe.poscar, 1.0
SrCuO2.poscar, 1.0
MgO.poscar, 1.0
NbZr.poscar, 1.0
Ho.poscar, 1.0
SrCo2As2.poscar, 1.0
SiCl4.poscar, 1.0
La3Rh4Sn13.poscar, 1.0
Ca3Rh8B6.poscar, 1.0
ThPt4Ge12.poscar, 1.0
